domain,length,digit_ratio,special_chars,subdomains,has_long_random,has_idn,is_base64,is_hex_encoded,avg_subdomain_length,max_subdomain_length,domain_entropy,has_repeated_patterns,has_consecutive_chars,label
www.1a0417d2a94285503e5c33b344554de65c4583256cc33fc60.25c16772e.714e2cfa.bot.hackbiji.top,89,0.5280898876404494,0,6,1,0,0,0,13.333333333333334,49,4.350828864259302,0,0,1
post.309a00155d4e248090893f863fb738b152ee8821d046ded34819d6153.7a03fc5a8c9f65706b2cefe0112ad53029b40b601271c3a74862904a.04483c22566ecc2d5ed1cf776a305b4ab96c70ff578a0aee8167102a.92e5f2192.2028a4f2.bot.hackbiji.top,212,0.6084905660377359,0,8,1,0,1,0,25.125,57,4.316585600629081,0,0,1
post.1310.078283020.2028a4f2.bot.hackbiji.top,45,0.4222222222222222,0,6,0,0,0,0,6.0,9,4.047548241669875,0,0,1
post.120723465f298a51d.263a20787.2028a4f2.bot.hackbiji.top,58,0.4827586206896552,0,6,1,0,1,0,8.166666666666666,17,4.318598020728533,0,0,1
post.3a82309818229c0e9253ad6df237db3a3b39a8f024f0029b0938f5222.3c94367116bee8fd2126699b260c71530738d8d03991fc917e003166.28426b6fc7cf6a629d9cb521b13f1b36f4372b83d796e692e39bf590.51f39681e.337cecb6.bot.hackbiji.top,212,0.6226415094339622,0,8,1,0,1,0,25.125,57,4.233604070299395,0,0,1
post.3089d8152b468422f42c105962124d70c02db121c9075167d10424fa5.8cb2ad7b327d319752498ccba73a07f582d151cca85315771d950bfe.d771dff5afd1a84171960f6d4c7dfb5deb4ef39fadaf6c150222c4d4.263721aa7.337cecb6.bot.hackbiji.top,212,0.5707547169811321,0,8,1,0,1,0,25.125,57,4.277997660247289,0,0,1
api.0b0e3aa7.714e2cfa.bot.hackbiji.top,38,0.2105263157894736,0,5,0,0,0,0,6.0,8,4.018215514675148,0,0,1
post.3e8d6f2dcda88aadf86933446e32ebdbee5efc1a9e072f35dcd0839af.100fc437327e30ac03cad5d316ad834c9e4f5b46d35c12e7319483e0.5bb3cf0b817837602d07ac079035380288cb71fc0e3f51b82c65cc9c.928734aa2.714e2cfa.bot.hackbiji.top,212,0.5330188679245284,0,8,1,0,1,0,25.125,57,4.297429910865899,0,0,1
post.3e28a0d22106c0bd7fbe1e71c92118d2e394bbbddef806792940a175d.6890dfff8b17ef216d01856a60aaa1a47586561675f18f07ebd87581.23ed8c44da27929056ed38f30bc33cdce696e693470ea2fae7da1378.52e5f2192.2028a4f2.bot.hackbiji.top,212,0.5660377358490566,0,8,1,0,1,0,25.125,57,4.313998260456426,0,0,1
post.456c3fa41cb56c7cff8cd0d021d42d59dcd55b1ab.65b29026d4e7eced8bc8f9ee7ba196562a10937b5c960fa29435e9c1.c6f6926a2aac6f7a3af2abeb9aa00de0bf89093064debd876536e740.80f6605c395c36a5497de3bbd274235925b144f567f7b0fc6e9cbb07.2c092ca3.2028a4f2.bot.hackbiji.top,252,0.5357142857142857,0,9,1,0,0,0,26.666666666666668,56,4.271158917654543,0,0,1
post.3b85734488d1d1ab87b2052fe22fa587479e56ae660b7607cb80f957d.236bef2870aa25b3d6bdbb906f5a69b5ec91ea8c1e75458cdd4fe4ce.9bcc9ff8d4cefceb1a13570adef9850eba50123f6e3f35e520f1f29c.26fea7af9.5a6d07fe.bot.hackbiji.top,212,0.4952830188679245,0,8,1,0,1,0,25.125,57,4.307331700310837,0,0,1
post.3729da17d0b8e2c98048b6535456e8f586c4ca653c2f6dcefc74b1d16.7c8c8840a2a2ee2ab60f34bad6db85a17489acfd4d2fa1dd6c9584e3.e52688f597d1aca47005a637ccaf24097ed331df2403eae231c2c394.758a35de8.2028a4f2.bot.hackbiji.top,212,0.5377358490566038,0,8,1,0,1,0,25.125,57,4.3082416477246,0,0,1
api.039243f3d.2028a4f2.bot.hackbiji.top,39,0.3333333333333333,0,5,0,0,0,0,6.2,9,4.057855988582063,0,0,1
post.380e71bcedff47f456f0a86f3271ece7b9369e93ed59a9534b124d5c0.4a007040041f494bb40aa88a687091f142756bec7fbdee7055193062.20056bfa2189c46399d347ad98cfc2f622938c4443f745f63f0e09e9.37b303616.714e2cfa.bot.hackbiji.top,212,0.5943396226415094,0,8,1,0,1,0,25.125,57,4.304902680603006,0,0,1
post.1300.019677913.2028a4f2.bot.hackbiji.top,45,0.4222222222222222,0,6,0,0,0,0,6.0,9,4.23564587381899,0,0,1
api.04fbf1509.714e2cfa.bot.hackbiji.top,39,0.2564102564102564,0,5,0,0,0,0,6.2,9,4.141064001347103,0,0,1
api.139c27eb9.337cecb6.bot.hackbiji.top,39,0.2564102564102564,0,5,0,0,0,0,6.2,9,3.974647975817024,0,0,1
post.1300.028734aa2.714e2cfa.bot.hackbiji.top,45,0.3333333333333333,0,6,0,0,0,0,6.0,9,4.191201429374546,0,0,1
www.15e225818535a027a9968db02d79a24152682628e8381762c.24e565f0.2028a4f2.bot.hackbiji.top,88,0.5909090909090909,0,6,1,0,0,0,13.166666666666666,49,4.311527280496176,0,0,1
www.429eb69a2448233240a49ea97bea605aae784cf29.69eda1be53ff1bf3a8cbf6badd612a660e9e4b0a005d97f1ba1301d4.e9e13c57682e4370ef9376f319597f106027f7fb30b43ba315398369.669a896fcd2ace4a1c5bcce6d041b0d0cad6c296ee4ac3448ca83381.1673b1c4b.714e2cfa.bot.hackbiji.top,252,0.5476190476190477,0,9,1,0,0,0,26.666666666666668,56,4.261338153977701,0,0,1
post.4ad34083e6368e2e4c605cf9d99d0f3808fb223fd.d8b6338f2c897838eeb8cd563ea4e4f5f7a9ded45e2f7694680b5eb6.906785598500ed9e94598071dcba13a6a234f7466d6c5b4a369d3e0c.ae4c61eea3e59d1a71b3514ccdc68d6f25f0e69229ac48899259b819.646544a0.2028a4f2.bot.hackbiji.top,252,0.5793650793650794,0,9,1,0,0,0,26.666666666666668,56,4.271634411916594,0,0,1
post.3562a991a4c3b937ad3ad628bd309937de7c35d35d63f2693ee67342e.30a65326d1ab836821fdc15ff7982d4af00142ba46a37fcd1ccce09f.d9185f7917fcef253f740997c6fdd4def0ab97bce4b480a8ed3bfaea.319677913.2028a4f2.bot.hackbiji.top,212,0.5377358490566038,0,8,1,0,1,0,25.125,57,4.308465130442193,0,0,1
api.028286b90.2028a4f2.bot.hackbiji.top,39,0.358974358974359,0,5,0,0,0,0,6.2,9,3.926588925024018,0,0,1
post.30d5fd8a5a0b0d2a5aebe7f4ee14434c38e698a21d7d19da406be8b61.3ca12f6264888a6c7e4c4e2ab7e8f2f4ffe5b94e35fa36a72729cad3.d15d2b18c738e41ec01eec9be9b4932a9d3b58ce284dcb82c8087115.97b83504a.337cecb6.bot.hackbiji.top,212,0.5141509433962265,0,8,1,0,1,0,25.125,57,4.3055465956013865,0,0,1
api.030c54089.337cecb6.bot.hackbiji.top,39,0.3076923076923077,0,5,0,0,0,0,6.2,9,4.089781950065051,0,0,1
api.13f566608.337cecb6.bot.hackbiji.top,39,0.3076923076923077,0,5,0,0,0,0,6.2,9,4.089781950065051,0,0,1
www.18816594773c7829a2685a0c3454a2ffea3d90694261c8a09.2f9e3da5.5a6d07fe.bot.hackbiji.top,88,0.5113636363636364,0,6,1,0,0,0,13.166666666666666,49,4.454003642329854,0,0,1
post.33450a250b847ac483e28c09b5feea0dece22f03032ccaaf3d7b1e6be.3efb13522846b2466731ef15924b2e00d0c7f472fd2ce4d730401275.d5e0e642f1bbf5a29b87c178b2d6603185ab7e983b6b87f6a8109f5b.47ba12ef3.5a6d07fe.bot.hackbiji.top,212,0.5424528301886793,0,8,1,0,1,0,25.125,57,4.29898718559035,0,0,1
post.321a04a6090f56cb2393f04ffa7ab2ad7b7df6829d7bf0c9e15e1b3d7.f3105f12fa9d79cbd68874060295753f4e738e6ca75be59de013902d.ab610671547cab585ae6041eddbbe26456953c3596a8f036672542d3.815fc7796.2028a4f2.bot.hackbiji.top,212,0.5801886792452831,0,8,1,0,1,0,25.125,57,4.325012601468828,0,0,1
post.36273ac76703d289eedf4b7b45ca5969de2aa3e385c15c2abf4a8ce02.0e0b807022a635881ecf03a344d1575ce0a576bcef8d767470b4822e.a4274fbf5e3ea171de00144b644e983e8eb16415984f7d52285aa08f.1527f655e.714e2cfa.bot.hackbiji.top,212,0.5613207547169812,0,8,1,0,1,0,25.125,57,4.296184328958048,0,0,1
www.429eb69a2448233240a49ea97bea605aae784cf29.69eda1be53ff1bf3a8cbf6badd612a660e9e4b0a005d97f1ba1301d4.e9e13c57682e4370ef9376f319597f106027f7fb30b43ba315398369.669a896fcd2ace4a1c5bcce6d041b0d0cad6c296ee4ac3448ca83381.1af54237.714e2cfa.bot.hackbiji.top,251,0.549800796812749,0,9,1,0,0,0,26.55555555555556,56,4.267777004984834,0,0,1
post.3bbee3f0926d66e951c98855e5d511532f962d882f89026e733ef62db.27326acddec3ac36306fc2bba790e07c62d1dbc6d65f0a79bb3d5449.722fe6217d8eafc093edb65fdd4ae1b3cd48b228e11fa5d192913c28.515fc7796.2028a4f2.bot.hackbiji.top,212,0.5424528301886793,0,8,1,0,1,0,25.125,57,4.299201755824509,0,0,1
api.173a64146.337cecb6.bot.hackbiji.top,39,0.3076923076923077,0,5,0,0,0,0,6.2,9,3.9485056679028223,0,0,1
post.30b995d6a503b6d5a0690eafefc4df0926ff960a096b7022fe4a3988c.627de58c8c9cb88c58861a6b5b3cd8d3c96c9421fa8437cad8e01ec8.fbfd8b978d5729a6696843a720ce3eabfe40e3277ef04c57ef55f16f.761c065f2.337cecb6.bot.hackbiji.top,212,0.5283018867924528,0,8,1,0,1,0,25.125,57,4.300903959894628,0,0,1
post.3ff07bf5309b5a50d212a93f225b7cb959acc69027d17970c68cd0d44.0099bba4cafedef7cc7c6837f73285d9f33d20fd9ee1a9ff0c343f91.17b3ff453f196083df074fb40423799bdf3a23749b1a7f62377792f8.2367072eb.5a6d07fe.bot.hackbiji.top,212,0.5566037735849056,0,8,1,0,1,0,25.125,57,4.245590185939703,0,0,1
api.153f66280.337cecb6.bot.hackbiji.top,39,0.3076923076923077,0,5,0,0,0,0,6.2,9,4.172989962830091,0,0,1
post.38405c3b0c059ab1ecd297b04fc1c867c55774709a0dd16dbe08db222.192a47b2508d0bb56a750a8c1e85a6b14b6d99265ae18fad20e03230.96ab5019f3dc831a85b22fea8b1608fffb448d6395174a42ebc12580.97d08067f.2028a4f2.bot.hackbiji.top,212,0.5754716981132075,0,8,1,0,1,0,25.125,57,4.299989762489619,0,0,1
post.1490a7dac7f870dc1.22f083856.5a6d07fe.bot.hackbiji.top,58,0.3793103448275862,0,6,1,0,1,0,8.166666666666666,17,4.443513753449851,0,0,1
api.17d157cf1.5a6d07fe.bot.hackbiji.top,39,0.2564102564102564,0,5,0,0,0,0,6.2,9,4.089781950065052,0,0,1
post.3d224aff1a431f7fe4b7e37611aa3fd4b57cb36b7aa6580eaadbe2651.29030159b4b5bae8fd1d62491a874f567656434b7fccc715bcdd4c20.f6b83f985118a05e110eb97a5a2bc22f5e0fd8fac97d871bc2ba63d0.84589061d.2028a4f2.bot.hackbiji.top,212,0.5330188679245284,0,8,1,0,1,0,25.125,57,4.315557308719279,0,0,1
www.180.067a713bd.5a6d07fe.bot.hackbiji.top,43,0.3023255813953488,0,6,0,0,0,0,5.666666666666667,9,4.233608649698742,0,0,1
www.1a0417d2a94285503e5c33b344554de65c4583256cc33fc60.2673b1c4b.714e2cfa.bot.hackbiji.top,89,0.5168539325842697,0,6,1,0,0,0,13.333333333333334,49,4.343726622406236,0,0,1
post.137ee39bb2a4ab0402db44aec.a473b6d7e.337cecb6.bot.hackbiji.top,66,0.3333333333333333,0,6,1,0,1,0,9.5,25,4.173816666231165,0,0,1
api.079cb3b56.714e2cfa.bot.hackbiji.top,39,0.2564102564102564,0,5,0,0,0,0,6.2,9,4.211702142428217,0,0,1
post.3c7584e32ff79ea68ac9cc3945b74a5aeae72bc5d9f70633e2759b5b3.2cf0de43e1ab02ffdaaecd533376b17bc67353f79782958799dbb1f5.475aeb5bc824674f1d36bbf9310bd9a956d84a75062e3d3889d98211.57b83504a.337cecb6.bot.hackbiji.top,212,0.5471698113207547,0,8,1,0,1,0,25.125,57,4.286151697536922,0,0,1
post.3b09d5bd0ccad7759cb92d44a2741bc7e6278aa48dde885501e7320e9.94ee6442fb59c2c4dc4bbe3fb6ef71a1afb1254ffde928c269a2d9e5.831b708a3f821d4d6abdc17e2676f53b2f597249b9fbe7daeb184c54.66e1a33aa.714e2cfa.bot.hackbiji.top,212,0.5047169811320755,0,8,1,0,1,0,25.125,57,4.30501630932564,0,0,1
api.03c501ac8.337cecb6.bot.hackbiji.top,39,0.2564102564102564,0,5,0,0,0,0,6.2,9,3.997227066105133,0,0,1
post.32366c10cd39ebf68de30b92c13d8ac000c4e5ed382df25a7a8e7543f.3b2e1c6f477500d1ad17cc61b8ffe2df22896c0c33426eb93e5a003f.d77adb6cecb5dd3344a0ad7cd7630d75c435e404a0e2d27dfe259e33.16df02b6c.337cecb6.bot.hackbiji.top,212,0.5094339622641509,0,8,1,0,1,0,25.125,57,4.266887290236402,0,0,1
post.3b58486924044c78330035d75b4c2d7d7e510f10163e039cdb57e64cf.db21192b14a594b7dd52ddff54167f6da8c7dbb952449f5202f28979.8f61b18f0a3a13f61354651128d6474abc5ff4f4733dd84ce6bbca02.36e1a33aa.714e2cfa.bot.hackbiji.top,212,0.5707547169811321,0,8,1,0,1,0,25.125,57,4.310827635969017,0,0,1
www.180.05e6d3d63.2028a4f2.bot.hackbiji.top,43,0.3488372093023256,0,6,0,0,0,0,5.666666666666667,9,4.315231324217973,0,0,1
post.11b75f980d3181c61.b7d08067f.2028a4f2.bot.hackbiji.top,58,0.4310344827586206,0,6,1,0,1,0,8.166666666666666,17,4.359811115996863,0,0,1
post.39d6ab34963c4efc90fc9c51e14647dd73e27c17dc28d73de5fcf3401.68815b3b2abf5921a0dd139002627871eec316645b3771b319ae5b40.05499a8fb0fbbdb7265757976f47f6f351f33139518d92629b7e3f2b.5473b6d7e.337cecb6.bot.hackbiji.top,212,0.5801886792452831,0,8,1,0,1,0,25.125,57,4.288749199138433,0,0,1
www.15e225818535a027a9968db02d79a24152682628e8381762c.233f46073.2028a4f2.bot.hackbiji.top,89,0.6067415730337079,0,6,1,0,0,0,13.333333333333334,49,4.328839012465698,0,0,1
post.1300.07ba12ef3.5a6d07fe.bot.hackbiji.top,45,0.2888888888888888,0,6,0,0,0,0,6.0,9,4.23564587381899,0,0,1
post.32d3dbce1947af7f0fa685971a04a12e7f0346aa10294c5bef1e66b65.0a03516d4a23fd962eeaf7a88e2d5ed94a8ba6d2ed48a48c5384ccdf.b81633bc868eb08f8a6c4e9d0606b372ddcccd97c59cc69053a84d2f.344664f29.337cecb6.bot.hackbiji.top,212,0.5188679245283019,0,8,1,0,1,0,25.125,57,4.311645045532244,0,0,1
post.1300.07b83504a.337cecb6.bot.hackbiji.top,45,0.3333333333333333,0,6,0,0,0,0,6.0,9,4.119087818311512,0,0,1
post.34f20523ca8d2e514b36d2ab4bfefb6a43da6cfffc068652c85d8edac.3dc3971279db30c0dbe13928bb0e1c450542b7317bf91cc1547d30dc.7df14c13d27410138aa926016e59c425b26c57be5e8e09a086ef953d.3615e06b0.337cecb6.bot.hackbiji.top,212,0.5377358490566038,0,8,1,0,1,0,25.125,57,4.316196800493873,0,0,1
post.3357306168fe8110c7192d42683c15f586cf8a7621aaa7e8a5829d407.44ef27bc76808192e3b77c9e74d3b161aa2daefd9104accb8ba35636.9a3062d50953bbee5c9b618d90e37fd20eda2c5f80b93184f1d3628d.57ba12ef3.5a6d07fe.bot.hackbiji.top,212,0.5613207547169812,0,8,1,0,1,0,25.125,57,4.332974717382998,0,0,1
post.32740df1e014e457d3dea7637fedf13625a4e771ca30aef6e7f5ae99c.f47b774ede8600d75017f810b63f64df6f848e1be6f8b6e5ae1516e5.8f8ee93036667f89037bcb1642aef62237e9301415cc4bd75681268a.661c065f2.337cecb6.bot.hackbiji.top,212,0.5613207547169812,0,8,1,0,1,0,25.125,57,4.266736357054258,0,0,1
www.180.04e565f0.2028a4f2.bot.hackbiji.top,42,0.3571428571428571,0,6,0,0,1,0,5.5,8,4.177566232096525,0,0,1
post.177fc36d89657f553.237a7030a.2028a4f2.bot.hackbiji.top,58,0.4482758620689655,0,6,1,0,1,0,8.166666666666666,17,4.359811115996863,0,0,1
post.303331f681c3e6b1f786c11144356c02a6664bda76a84ea8d44ca368a.48372d544d2266e6180ea3fa134e22b616ebed505b232d6c1faf34fe.a1204ce1bec4391fddb3004a28e376f2aa5352464b8420b3604941b9.61f39681e.337cecb6.bot.hackbiji.top,212,0.5801886792452831,0,8,1,0,1,0,25.125,57,4.232003610909247,0,0,1
post.4cf9f5481b538af37dc042a98f1e124604792d298.cd46a396f8f69f12eb6886b6179f601d758ee5e9c3de925cb4a2c5ec.06048487edec7c77e9baecd2815e720c7b0286fba4a91e47f718b803.c0c7fca16917f2c720c33e61b6eb45f48d1248104b5d78d500b3ebae.315d09d0.5a6d07fe.bot.hackbiji.top,252,0.5595238095238095,0,9,1,0,0,0,26.666666666666668,56,4.3030968227015824,0,0,1
post.329c9e4a22ef29dc242da4d23c02b13f3b65ffda384044e4caee305cd.b9d4fd76f3050214221126024f507aeb2f23b010d023b51efb5cd012.0f2e25e6da4e75ab2eb43a509e5ff84fcd150f95d344291b781b5eb9.7527f655e.714e2cfa.bot.hackbiji.top,212,0.5377358490566038,0,8,1,0,1,0,25.125,57,4.238992809483428,0,0,1
api.15a8f737b.5a6d07fe.bot.hackbiji.top,39,0.2564102564102564,0,5,0,0,0,0,6.2,9,4.1604200911461655,0,0,1
post.3d5bf294b955992b92c79d26d88efd63eb881d904350f5fcc9fba8093.c090f7c324da67968d2862b6645811f22419337f3790033c139d445a.719f9cb37fe2b5adda4e47f3692382d731ee5ef5774d4125863a4d7a.91ac954da.337cecb6.bot.hackbiji.top,212,0.5849056603773585,0,8,1,0,1,0,25.125,57,4.308654352471883,0,0,1
post.3a3990a27221845400855b48d996d0b04fb070b893d11a4f75619a525.ab9a291c489c363b750744b1b6e17bd43f9f33880c1c9ebfc7a0527f.f25a6e33af43bdc1bcf6d7af8efc2baa61e77bf14f6d9aa453aaa7a0.46fea7af9.5a6d07fe.bot.hackbiji.top,212,0.5283018867924528,0,8,1,0,1,0,25.125,57,4.290758387400896,0,0,1
post.1300.01f90067f.714e2cfa.bot.hackbiji.top,45,0.3333333333333333,0,6,0,0,0,0,6.0,9,4.199876085498173,0,0,1
post.1753a2c5e0fef622b.2e9574e7.2028a4f2.bot.hackbiji.top,57,0.3859649122807017,0,6,1,0,0,0,8.0,17,4.316302786552908,0,0,1
www.1a0417d2a94285503e5c33b344554de65c4583256cc33fc60.26da47412.714e2cfa.bot.hackbiji.top,89,0.5280898876404494,0,6,1,0,0,0,13.333333333333334,49,4.352241190316299,0,0,1
www.401f545ea264638b9abd2d2a44840ba459b90d0ff.9c00045fff8a7981a2e49ea7ee6ce365959cae078ebfde928777fb49.84b6c43c6443bcf4a0243b3f9ef5255fc405f37bc834b17849aedefa.32fded893fc3352395c0564aef36a594eb2d0dc856ca6f843c864dee.15e6d3d63.2028a4f2.bot.hackbiji.top,252,0.5436507936507936,0,9,1,0,0,0,26.666666666666668,56,4.245421120754674,0,0,1
www.180.033f46073.2028a4f2.bot.hackbiji.top,43,0.3953488372093023,0,6,0,0,0,0,5.666666666666667,9,4.175696440497043,0,0,1
post.339173bfe86068ce7b4b1769b41c19416b1a5a567ec104ee69eb82cd8.89109532945b19f59a3dfa49e582b68a66548d7ae8e7873369039d15.71c90e65c9b94d45f2a5c586b22204127c930b8cc12ca0cacfe28ca2.361c065f2.337cecb6.bot.hackbiji.top,212,0.5849056603773585,0,8,1,0,1,0,25.125,57,4.297784347609608,0,0,1
api.14fbf1509.714e2cfa.bot.hackbiji.top,39,0.2564102564102564,0,5,0,0,0,0,6.2,9,4.12170791154804,0,0,1
post.4a79db158d1696621fbce527a5caa4a2fdd301dab.4ca61e2065d6b4aaa2a5f150a37ebe4e04be59457903d72653fc7387.736c469f66fd96c949d5d302f82d6863499ed4df72663f39a7cc9ab7.ac9440810b4d94889ae275903cdb7b36ff96908a3f307730cef09a60.4ff04204.337cecb6.bot.hackbiji.top,252,0.5674603174603174,0,9,1,0,0,0,26.666666666666668,56,4.27077956683594,0,0,1
post.3a04c50a30de7ff3f3bb1e0d9ad04db9faf73b46a8de2dfa66e545897.87eeff9f586993982056be590ac1f3fb22821640f76ca39464792f6d.6254ff00cb8584b1bbc59fcf965d9117cb11a25dadc15ca04cf77574.27ba12ef3.5a6d07fe.bot.hackbiji.top,212,0.5235849056603774,0,8,1,0,1,0,25.125,57,4.3190522218791,0,0,1
post.3deaa3e672b61a5d4c78428069614174b96f8b1a6f9e07cb9393cedd0.e60ac3daf0c419b2c3a0d36b4f0bdeb3151e58cdafe08e9cc3e07fdf.e96097d295a3ccc858dd0997ad51f77ea1d35eb532b84817843eda1a.863721aa7.337cecb6.bot.hackbiji.top,212,0.5094339622641509,0,8,1,0,1,0,25.125,57,4.30697044081299,0,0,1
post.3c3ad3a5a31709a2643998ec92260ac61c863429c317710c05e152c73.ff45115be638080d408a385b516b241a3edea3c2b442b404a7f06648.f19f31a738c570af19fde6358bb4dbde4afe6a163df7953a64e77a3e.86ef20ee1.337cecb6.bot.hackbiji.top,212,0.5660377358490566,0,8,1,0,1,0,25.125,57,4.308192125780098,0,0,1
api.064193b51.5a6d07fe.bot.hackbiji.top,39,0.3076923076923077,0,5,0,0,0,0,6.2,9,4.262984193710269,0,0,1
post.2968c48452ced54690da4f4e0d39e9fee2741f6e37e9d4ef2a3f434dd.0549dbaeeae9c2acd310cb8fc277c1713dff7d04e89099b97b24bfe4.163a20787.2028a4f2.bot.hackbiji.top,155,0.5032258064516129,0,7,1,0,1,0,20.714285714285715,57,4.328881830346154,0,0,1
post.3d8a0a01201acb611eddf83eb45fe3b440a664944dc5cc79fdcc96e3e.66bb9b48dc38d5919deed8d5a4879eda57d7e2263a2ea9acec13c087.31156ad3f92d1464966245c58279cbd58025cd1fbd004855083e193d.228734aa2.714e2cfa.bot.hackbiji.top,212,0.5377358490566038,0,8,1,0,1,0,25.125,57,4.316067308615188,0,0,1
post.3d2ba99c04107bfdcac0278c41b23d9c7b9dd40530fa965373fcd6618.10cf3af0c136443af76fc60c30247d3d5bff657b74d4d106dbf37bf5.b4ff468abea3e012f7cbff6cc383e1603d1b9f05fbf1658fc67f4e7f.924f42253.5a6d07fe.bot.hackbiji.top,212,0.5141509433962265,0,8,1,0,1,0,25.125,57,4.252319623935284,0,0,1
post.1213e71b603e54f096a8dc89d.a28734aa2.714e2cfa.bot.hackbiji.top,66,0.4090909090909091,0,6,1,0,1,0,9.5,25,4.47146173256868,0,0,1
post.388fe9cc5e31055e8acd29c3098a57264469e5abe0a54633b13d3635e.af566beb024308b05e93802abff2628ce3b476e44f84c129f56f9b23.ea2d9dee99c1ca596ba055831ab29dfef6634747ae7e7bb1bbc82635.446955c21.337cecb6.bot.hackbiji.top,212,0.5518867924528302,0,8,1,0,1,0,25.125,57,4.282141978690794,0,0,1
post.2dcaff59b8a0ac6df2126bde6cc4298f78c9c1bea.2f4f19c7c52d1280314e0a70440dcb2cd739aa2a.815d09d0.5a6d07fe.bot.hackbiji.top,122,0.4426229508196721,0,7,1,0,0,0,16.0,41,4.369240049618048,0,0,1
api.13c501ac8.337cecb6.bot.hackbiji.top,39,0.2564102564102564,0,5,0,0,0,0,6.2,9,3.997227066105133,0,0,1
post.36cb09ee9917da840f2e949ef4c2cff2618a3a0ea31de232d5429120d.3282c61762a60549b0626cfc3ee7169ed1aaabdaee64f8cf8d157acd.c3257e2c011c1ab3e5136aa54bf0b570ff3fe37bbcd07f94402eaaf6.663721aa7.337cecb6.bot.hackbiji.top,212,0.5094339622641509,0,8,1,0,1,0,25.125,57,4.295831507531885,0,0,1
post.174a5e742dd876a4b7de880c2.a527f655e.714e2cfa.bot.hackbiji.top,66,0.3939393939393939,0,6,1,0,1,0,9.5,25,4.329871157296765,0,0,1
api.176fe4e7b.714e2cfa.bot.hackbiji.top,39,0.2307692307692307,0,5,0,0,0,0,6.2,9,4.019143808983937,0,0,1
